ResponseId,Q19,Q21,Q22,Q24,Q46,Q25,Q26,Q27,Q29
R_3gZVLc6ZnrIpLGB,The purpose of the data capture platform is to promote good collaboration. This is done through the use of speech recognition and data analytics.,Strongly agree,,Neutral,Strongly agree,Neutral,Neutral,Yes,Maybe
R_2EowTWuajJzB628,It creates a transcript of audio and separates it into different sections to make it easily accessible. The purpose is to make it easier to access different parts of the discussion.,Neutral,,Agree,Agree,Agree,Strongly agree,No,No
R_wNbQtw8LBMDjYgp,the video was very informative. the video taught me a lot about collaboration and how to effectively collaborate with others.,Strongly disagree,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_28CifCvYU4vsRRT,The purpose of the platform is to allow instructors and facilitators to be able to understand who is participating and who is not. The platform also provides transcripts of what exactly each student says.,Strongly agree,,Agree,Strongly agree,Agree,Strongly agree,Yes,No
R_PuCNaGCwQWtlVfj,"The data capture platform allows for real-time monitoring of discussion. It highlights keyword usage, displays what direction audio is coming from, records full sentences and sentences surrounding keywords, and interprets tone of discussion.",Agree,"From this data you could extrapolate who is putting in work to lead/guide the discussion and people who aren't contributing at all. I'm also of the opinion that people shouldn't be penalized for talking less as long as they contribute, because some people will be more soft spoken but still make meaningful contributions.",Disagree,Agree,Neutral,Agree,No,Maybe
R_3niTlA9sYa30BK3,"The data capture platform records discussions, and provides analysis of the discussion. It allows you to track key words as well as monitoring certain things such as confusion or engagement.",Agree,,Disagree,Agree,Disagree,Disagree,No,Yes
R_3PRFo6W2YA9SY2N,It allows analyzing how the discussion goes to be more scientific and effective. It's also good for review after the fact since the data will be present and you won't have to rely on your own memory.,Agree,,Neutral,Strongly agree,Agree,Neutral,Yes,Maybe
R_2CKwP44gtbvjh79,The platform is meant to collect student data for use in the classroom so that students may be instructed more personally,Neutral,,Disagree,Disagree,Neutral,Neutral,No,Maybe
R_1DoOXpPRFUND53I,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.  I understand how this information might be useful for supporting learning.Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.  I understand how this information might be useful for supporting learning.,Neutral,,Neutral,Neutral,Neutral,Neutral,No,No
R_2P5U7Q8uthDbPh5,The capture platform keeps track of conversations and can detect various aspects. Some important ones include the direction in which discussion came from and the tone/mood. ,Agree,,Disagree,Agree,Neutral,Neutral,Yes,No
R_3ssu23pzcsTAlLW,"The platform records audio from individuals' devices, using machine learning to analyze and categorize group discussions. It allows you to see when individuals were actively collaborating, when questions were being asked, and when members were silent, and it also shows the overall tone/mood of the discussion.",Strongly agree,,Agree,Strongly agree,Disagree,Agree,No,No
R_2v1c8U6SGv84rY9,It can be used to analyze the broad characteristics of a conversation like contribution dynamics and tone.,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_exv4bMixOn5eTjb,The data capture platform allows groups to track collaboration quality both during and after collaboration. It also allows groups to stay organized and on top of all tasks.,Neutral,,Disagree,Agree,Agree,Disagree,No,Maybe
R_2schUaJKV3f2EGL,Paying attention to participation data during the collaboration is particularly important for the analysis of the collaboration.,Strongly agree,,Agree,Strongly agree,Agree,Agree,No,No
R_2RQaoX7jBQDuV4E,The online dashboard that gives the discussion facilitator several real-time insights into each group.,Neutral,,Disagree,Agree,Neutral,Neutral,No,Maybe
R_BDOvZY4whUpceZj,The purpose is to observe collaborative learning. The functionality is an online dashboard that gives the discussion facilitator key insights into the group dynamics.,Agree,,Agree,Agree,Neutral,Agree,No,Maybe
R_2Pbs0pGfPs7HvBD,"It seems like the purpose of the tool is to capture important insights about what is said in the recordings that may not be easily noticeable by a human, such as keywords and other nuances/rhetoric of the speech. I think it could definitely provide some information that people don't notice every day.",Strongly disagree,,Disagree,Agree,Agree,Neutral,No,Yes
R_3scVs4NA7yJxMER,"It is supposed to be used to anlalyze speech on multiple different levels. These levels seem to include subject matter, tone, and emotion among others. I think this is a really cool device that could have a lots of potential.",Agree,,Neutral,Agree,Neutral,Neutral,No,Maybe
R_3O8JmhvSW3jHU4S,The purpose of this data capture platform is to enhance group collaboration by collecting and analyzing certain metrics. It is meant to be used by group members. ,Neutral,,Neutral,Neutral,Agree,Agree,No,Maybe
R_1PSEWcXDWPI7xA5,The purpose of the device is to gain insight into what is going on in discussion. It listens to discussions and provides metrics like a timeline of type of statement and measure of emotion level. ,Neutral,,Neutral,Strongly agree,Neutral,Neutral,No,Yes
R_274iWv4bJ70WRiF,It has keywords list that can easily find what you are looking for. It also has timeline control that can mange every topic's discussion time.  ,Neutral,,Agree,Disagree,Disagree,Disagree,Yes,Yes
R_sbtKBt9AwSMz0Xf,The purpose is to help discussion leaders (or teachers) understand the dynamics of their group that they are watching over through a device. This will serve to ease the difficulties of managing large classrooms or groups where there is a small teacher to student ratio. Indivudals are recorded and their key words are detected to better understand the contributing dynamics.,Strongly agree,,Strongly agree,Strongly agree,Neutral,Strongly agree,No,No
R_3EGMl5mSwJiWAR8,The purpose and functionality of the data capture platform is to obtain live data on people as they speak. It captures things such as tone and the words that they say. ,Neutral,,Neutral,Strongly agree,Disagree,Neutral,No,Yes
R_29leV4MKY9YmnWF,"The platform is pretty useful for highlighting the most important moments of a discussion. Based on keywords you can have a better experience reviewing the audio of a discussion, such as a lecture.",Neutral,,Disagree,Neutral,Neutral,Disagree,No,No
R_3P7blhxYVzHEnWR,"able to capture the necessary information given by a lecturer. based on the ton of voice, the platform is able to take that into account to get information ",Agree,,Neutral,Agree,Neutral,Neutral,No,Maybe
R_6rLZEU5QKwUVNPH,I think the purpose of this data capture platform is to understand how a group of collaborators discuss and engage. More specifically there is a case by case basis of tone and analytics of the entire discussion to help understand how some groups collaborate.  ,Agree,N/A,Agree,Agree,Agree,Agree,No,No
R_22S6JBd2h0NG1VQ,"To record and monitor discussion, also sentiment and content analysis after the discussion",Agree,,Agree,Agree,Agree,Strongly agree,No,No
R_2qCYCYunLTdigwY,The data capture platform is able to recognize patterns and trends in the conversations that are happening during group discussions. I was particularly impressed by the keyword detection mechanism which would help identify the direction of conversations/common topics that come up,Strongly agree,"I'm concerned that recording and data recording may discourage people from participating. I'm also concerned that this data may be exploited, sold, etc.",Agree,Disagree,Neutral,Strongly agree,Yes,No
R_DUdASCLkDd2tN1D,"the platform allows teachers to properly facilitate online collaborative learning. Teachers can use the platform to track discussions, and better direct discussions. ",Agree,,Neutral,Neutral,Neutral,Agree,No,Yes
R_3EMdtEw5PoFa7Y3,"Can automatically generate keywords for chatting, convert voice messages into text messages, and visually display the quiet time",Agree,,Neutral,Neutral,Neutral,Neutral,No,No
R_p0s1fi5JK5HvXDb,"The data capture platform allows teachers to get better insight into student discussion. Teachers can see specific parts of the discussion, what keywords are being used, and the tone of the discussion. ",Agree,I think people might be more scared to participate and speak their opinions if they know that what they're saying is constantly being recorded and analyzed. It might prevent people from truly expression their creativity and thoughts. ,Agree,Strongly agree,Agree,Agree,Yes,No
R_10NagZfEXmfnVDt,Capture keywords discussed in a discussion and make them be useful to review or do some deep analyze.,Agree,,Disagree,Disagree,Disagree,Neutral,No,Maybe
R_1EbUgpws4SMtiHB,"This application provides a summary of what was said in a collaborative discussion environment. For example, it can tell you which person was talking the most, what words were repeated a lot, etc.",Agree,,Agree,Agree,Agree,Agree,No,No
R_1dlSR6riV9bOZYF,The purpose of this data capture platform is to capture recordings of conversations in the classroom as the ratio between students and teachers has increased over the years. This makes it so teachers can listen in to these collaboration sessions. The functionality of the platform includes picking up of keywords and showing what is said around it and different qualities of the conversation (like clout or tone).,Agree,,Disagree,Agree,Neutral,Neutral,No,No
R_734edtBz2phDSRr,Teachers can't evaluate every groups tone. The data capture platform can indicate how well a group is working together by evaluating the tone of the conversations within groups.,Agree,I'm wondering what the false positive/negative rate is.,Neutral,Agree,Disagree,Agree,No,No
R_Z2cEnkpJdr2mVwd,It can help students collaborate better in the class. It gives the discussion facilitator several real-time insights into each group.,Neutral,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_1fknSRdbAqDxeIH,Record discussions and analyze them to extract helpful information to improve learning and collaboration,Agree,,Agree,Agree,Neutral,Agree,No,No
R_3q7Kajk4RaakA4i,"This data collection and display system provides insight to teachers or professors with classes so large, they can't hear the discussions of so many small student groups. So, they have audio capture devices for each group with analytics to identify the key words repeated in discussion, which can be filtered over time, or placed in context of the transcript. As a result, the teacher can get an idea of what students seem to most discuss.",Agree,,Strongly agree,Strongly agree,Disagree,Agree,Yes,No
R_0ihHbWbZBiWViRb,Purpose is to provide insight to groups about the types of conversations they are having and what direction the conversations are heading. It does this by having microphones on your device that pickup conversations and analyze it in real-time with their AI.,Agree,,Agree,Strongly agree,Agree,Strongly agree,No,No
R_1JY40ZiDD8a8rSM,It is a platform that analyzes group discussions. It specifically tracks certain keywords and the direction off discussions to understand how functional discussions are.,Agree,"I would be wary of having these discussions tracked by this platform and likely uploaded and stored by their servers. Despite its benefits, I would not support this data collection through an online service. ",Strongly agree,Strongly agree,Neutral,Strongly agree,No,No
R_27xo6GI24YuGOck,The purpose and functionality of the data capture platform is to give a discussion facilitator several real-time insights into groups. This platform highlights how some metrics are changing over the short-term of discussions to highlight trends to provide more insight into what is happening within the group. ,Agree,,Agree,Strongly agree,Agree,Agree,No,Maybe
R_AETmOZbZ6LbsglX,"It was to teach us about how to conduct data capture, and ways to filter out keywords from the video. ",Neutral,,Disagree,Disagree,Agree,Neutral,Yes,Yes
R_bvlWt8JEvelS8rT,"The data capture platform was used to track the ebb and flow of a discussion. It tracked when things were said and when there was silence. It also logged key words like ""hate"" to track the emotional tone of the conversation.",Disagree,,Neutral,Agree,Agree,Agree,Yes,No
R_1LXOTNJ1jv3vNxM,AI will listen to the conversation and pick out certain keywords. It will allow the instructor to customize and access information on the discussion and break-down the collaboration session into statistics.,Agree,I am worried that technology may be biased or not understand the full implications / nuances of collaboration. A lot of the time people can't even tell what makes a group work. Certainly it isn't buzzwords.,Agree,Strongly agree,Strongly disagree,Neutral,Yes,Maybe
R_pB2NgfI6aKzj4S5,"The data capture platform provides key insight into various metrics that can analyze the group interactivity such as most common keywords, the majority of sound coming from particular direction, or even the content of discussion being classfied. Thus, the data capture platform provides a good idea of how the discussion overall went and what can be done to improve for future sessions.",Neutral,,Neutral,Neutral,Neutral,Agree,No,Yes
R_2wMsyNDEbePIwSl,"To analyze discussion and give real time metrics of the quality of the discussion. It keeps track of things like keywords, the quality of the voices, and also keeps a transcript of the discussion.",Agree,,Agree,Strongly agree,Neutral,Strongly agree,No,No
R_3I5yEu98vrsJxBC,The platform records your voice and a transcript of everything that was said. It analyzes things like the tone of your voice to note things like confusion. The transcript will also keep track of key words to help hone in on important topics.,Agree,,Agree,Agree,Neutral,Strongly agree,No,No
R_8llfFP0zBbVpmJr,This is an interesting tool that can be used to provide feedback on the efficacy of collaboration. This feed back can then be used to inform collaborators on how to communicate more effectively. ,Neutral,,Disagree,Agree,Disagree,Disagree,Yes,Yes
R_2ALvfitIhnaXswW,The purpose of the video is to propose a new app that is being developed to increase efficiency of listening to lecture. The app transcribes and evaluate the data to help see which parts of the lecture was important.,Strongly disagree,,Disagree,Disagree,Disagree,Agree,Yes,Yes
R_5nE0ohI7TaZyyC5,"It generate the word from the audio. It provide the information about the works, the tones, score, e.t.c. ",Strongly agree,How to make sure the data is scure and abuse?,Strongly agree,Strongly agree,Neutral,Strongly agree,Yes,No
R_2bJCH6co7hdQzZ5,I think this data capture platform is a way to monitor the state of a collaboration in real time. It gives the facilitator an indication of what's going well and what's not.,Disagree,,Agree,Agree,Disagree,Agree,No,No
R_Zh6Tk8tw3S5ZXBT,"The purpose of the platform was to provide teams with a way of monitoring their discussions. For instance by using a microphone the platform is able to capture audio live from the discussion. This audio is then transcribed and reveals useful information that it tracks such as emotional tone, analytical thinking, etc. ",Neutral,n/a,Agree,Strongly agree,Neutral,Agree,No,Maybe
R_1eWOadYsuPNFA89,The data capture platform allows input from microphones.  This is analyzed for keywords using AI.  It can then be analyzed after a collaboration.,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_2QQb2qZnDupY8on,Computer Science is an important field to work in. Collaboration in computer science is just as important as communicating in computer science. ,Agree,,Neutral,Agree,Neutral,Neutral,Yes,Maybe
R_10JhWQh64h9XaPd,The data capture platform can measure the direction of a discussion using audio capture. The data capture platform can generate keyword lists from a discussion.,Agree,I don't think I fully understand the usefulness of this data,Disagree,Agree,Neutral,Strongly agree,No,No
R_ac2WakKqAtuvC2B,This data capture platform serves to increase the efficiency in collaborative learning. The platform allows users to effectively plan out a meeting in advance and even during the actual collaboration.,Agree,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_2RaDT1IZY4mCEVC,"The purpose of the platform in the video is to provide real-time analytics of a discussion on the platform. Each individual participant is given metrics on their participation time, as well as the qualities of their contribution such as confusion or emotional tone.",Agree,,Neutral,Neutral,Disagree,Agree,No,Maybe
R_33pxfV5Q06nX3Ra,It visualized the captured data on the platform and able to somehow abstract away the data collecting process.,Neutral,"If it is for learning purpose, then it is fine.",Disagree,Neutral,Neutral,Neutral,No,No
R_RIxJuNXuj2BJcAN,The app gives discussion facilitators real-time insights into student groups which enhances collaboration. You can use Respeakers to start discussions based on key words.,Agree,,Disagree,Agree,Disagree,Agree,Yes,Maybe
R_2urD5tIwYUiOj20,"I believe the data captured is useful to understand how the team members are communicating with each other. In the case that there is too much negativity or harsh words that are being said in a group, it would be great to quickly understand what is going on and whether everyone in that group is comfortable with that is being said",Neutral,,Neutral,Agree,Disagree,Neutral,Yes,Maybe
R_3fNnPoyvKZVtFNx,"The platform describes seems to primarily be used to record discussions in a group and then allow one to analyze the discussion. Various details can be assessed like searching for keywords, the amount of questions being asked/answered, the amount of silence, etc.",Neutral,,Neutral,Agree,Neutral,Neutral,No,Maybe
R_2wTvWSVzRf2l6lc,The data capture platform captures real time data about the discussion. It can track the frequency of certain words and also track the emotional tone the conversation is moving in.,Agree,,Neutral,Agree,Agree,Agree,Yes,Yes
R_bCQExzbn4EOeIzD,I t was a voice recording tool. it was used to search for keywords in a discussion and attempt to track collaboration. ,Neutral,none,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_XAqygvve3rpcbUR,"I understand the intent behind monitoring and classifying group discussion, but I really don’t believe this will be helpful. I imagine that this would just make group mates afraid to interact genuinely and hamper communications instead of aiding them.",Agree,,Strongly agree,Strongly agree,Agree,Strongly agree,No,Maybe
R_2pQN7Q9gVCaVhbr,The purpose of the platform is to make the group work more effectively. And it helps the group members.,Neutral,,Neutral,Neutral,Disagree,Neutral,No,No
R_3MKAflZcpSSyd89,"The data capture platform described in the video aims to give insights (information) about group discussions through the use of Machine Learning. The application records the discussion, and based on given keywords, calculates metrics such as emotional tone, analytic thinking, etc. This app can be used to understand how collaborations/discussions have progressed.",Disagree,,Neutral,Neutral,Agree,Neutral,No,Maybe
R_1FG4b47aE6RGm16,"The purpose of the platform is to gather audio data from a collaboration to understand the quality of the collaboration. The data can be used to know different aspects that worked well or fell flat (analytical thinking, clout).",Agree,,Disagree,Strongly agree,Agree,Neutral,No,Yes
R_3oNH2IC3958odE0,,,,,,,,,
R_2V88ZG2gswS5EiZ,The data platform provides extremely useful collaboration statistics such as discussion direction.  This ensures that group work time is spent productively and time isn't wasted as much.  ,Neutral,,Disagree,Disagree,Disagree,Agree,No,Maybe
R_3lKf1UBRoizaINT,The data platform can be used to analyze collaboration sessions and provide feedback on areas of strength and areas of growth. This can allow people participating in the collaboration session to reflect on the session and potential changes. That way they can better grow and improve and have more meaningful sessions in future. ,Disagree,"While I find it an interesting tool, I question whether there is a big enough problem with collaboration that would honestly make this necessary. I mean that completely respectfully. Is there enough research evidence though, that there is a real problem with how collaboration plays out that this tool is honestly necessary? It kind of just feels like sure, it is interesting, but presumably it is a paid product and I don't know that it would be worth it. People could just learn a bit about what is useful collaboration in some sort of online course, discussion, etc. and then just try themselves to be as effective as possible. I think most people want to have positive collaboration sessions and most of the time they do. It just seems unnecessary/that it tries to solve a problem that isn't big enough to warrant this solution. However, I haven't read too many peer-reviewed articles on this topic and if there is a lot of supportive research that suggests there is a big big issue that really impacts productivity etc and if you genuinely have extensive, peer-reviewed research evidence (that has not been manipulated to present false data) that using this product solves this problem significantly more than a workshop/online class (I know those exist already) on collaboration would, then I think it's a useful idea. But I think a lot of evidence and data is needed on this and I would need to see that before I could genuinely say it is a useful product. However, it does seem creative. And I don't mean this in a harsh way, I just want to suggest that as something worth looking into and verifying (hopefully you already have, but still. It is something that comes to mind)",Agree,Agree,Disagree,Neutral,No,Maybe
R_25vJJi3971yVOXF,It is a data capture dashboard that performs audio analysis of conversations for educational and work,Strongly disagree,,Agree,Strongly agree,Agree,Strongly agree,No,No
R_2eWQYbCNzRswCX6,It is supposed to help chemistry students learn. It tracks learning insights. ,Strongly agree,,Agree,Agree,Agree,Agree,No,No
R_3fPG3wtQZ2bCksb,I am not sure. I watched the video but I was still kind of confused about what the point of it is. ,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,No,No
R_3NIMterHNvrAArg,"The platform helps with understanding the contents of a discussion, split by discussions, questions, and silence. It allows for discussion moderators to better understand the discussions of groups ",Neutral,,Neutral,Agree,Disagree,Neutral,Yes,Maybe
R_3NPy5BZCYqrxS5k,It is used to provide instructors with real time insight into each group. It's main overall purpose is to help improve collaboration among students.,Agree,,Neutral,Strongly agree,Disagree,Agree,Yes,No
R_3qfIC3PFxrHc3fQ,"I can see how this can be potentially useful in measuring real time info. But at the same time, I feel that this increases pressure among teammates",Agree,,Agree,Agree,Agree,Agree,No,Maybe
R_26g1gmzUSabC1Dy,The platform monitors discussions in group collaborations and uses machine learning to describe what direction the conversation is going in using keywords. This allows a teacher to see how well the group is performing and what direction their discussion is going in. It also captures the tone of the conversations.,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_ueVpBfIgsnNePZL,"The data capture platform described in the video provides results for collaboration among peers, in different segments and in real-time.",Disagree,,Disagree,Disagree,Disagree,Agree,Yes,No
R_2gV0DrrqG5aAZ8Z,"I definitely find it a little creepy, not sure how I would feel being recorded during a discussion.",Strongly agree,,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,No
R_eqtQ53V9eIhqsyl,"The data capture platform intends to capture data about the collaboration quality of various members of a collaborating group. It segments data into analyzable sections such as emotional, clout, etc.",Strongly agree,It seems invasive on personal privacy by converting group contributions into a public form.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No
R_WwXcEhguM2LhrVv,"The purpose of this data is to give teachers clearer insight into the discussions that their students are having, with the directionality of the conversation, the emotional tone, etc.",Agree,,Neutral,Strongly agree,Neutral,Neutral,No,Maybe
R_YWXRUalNtSgBPVf,"The data capture platform records and transcribes discussions and creates an analysis of the discussion. It tracks keywords, timelines, moods, and other metrics of the discussion.",Agree,,Neutral,Neutral,Disagree,Neutral,No,Maybe
R_1g75BW8yTM8wDjZ,"Seem really cool, provides data points about what people are saying and detects keywords, also records how long people are talking for and when they fslk",Neutral,,Agree,Agree,Agree,Agree,Yes,No
R_248eKFTicOaRo1Q,The platform observes a collaborative discussion by listening. It provides data to analyze the discussion in both real-time and post settings.,Agree,,Disagree,Agree,Agree,Neutral,No,Yes
R_UaPi8yjwuuflGIF,"The functionality of the data capture platform shows where the audio of a contribution to collaboration is from, some key words used, and categorizes contributions.",Agree,,Agree,Agree,Disagree,Agree,Yes,Maybe
R_1P100Lhdn3UpqTU,The purpose of the data capture platform is to capture the data of collaborative efforts ,Agree,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_1d07HuVyZkdX2mY,Capture key words on the dialogue of a session. Figure out points of disagreement. Keep a record of quality of collaboration for evaluation.,Neutral,,Neutral,Neutral,Agree,Strongly disagree,No,Maybe
R_2ZEPQ73TcfAZkOu,"The goal is to analytically look at how collaboration works.  To do this, the tool looks at a transcript to determine things like keywords and tone and provide a neat summary to whoever might care to look at it.",Agree,"This data could be harmful given that exact meanings for people can differ, especially in the context of things like tone analysis which rely on machine learning that can be biased towards any training data used.",Agree,Agree,Neutral,Neutral,No,No
R_1QQ3QRH9RWiUhGN,To accurately understand the dynamic of group collaboration.                                                                        ,Agree,,Agree,Neutral,Disagree,Neutral,No,Yes
R_UZ2lYuHgv2tKOfT,The data capture platform is used to listen to conversations. This data will be ysed to analyse collaboration,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_tDPTNGUN6lhUNFv,"The purpose of this platform is to analyze discussions and use machine learning tools to identify words in discussions that could imply whether collaboration is going well. For instance, the platform identifies words relating to emotional tone and other aspects of collaboration. ",Disagree,,Disagree,Agree,Neutral,Neutral,Yes,Maybe
R_2V4uk4Yi9PGGJc8,It analyzes discussions using machine learning and gives out potential insights about how discussions went.,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_2ASFLcz2aS6rTga,1. It describes the type of conversation you are having2. it keeps track of the time,Agree,,Disagree,Disagree,Agree,Agree,Yes,No
R_1IBpEdI4OZbwVuk,The platform uses machine learning and records voice transcripts about collaboration. It displays information real time about a groups collaboration and how to better it..,Neutral,,Neutral,Agree,Strongly disagree,Agree,No,Maybe
R_VPjpX3S0H2ZHRnz,The purpose of the platform is to monitor and provide insights about a discussion. The main functionalities are that it allows you to record and replay your discussion while also giving you different categories that describe the traits of your discussion.,Agree,,Agree,Agree,Agree,Agree,No,Maybe
R_3RvyZHqQRC7kj1Q,The data capture platform serves to provide feedback on the progress of a collaborative discussion. The platform analyzes the audio of the discussion to determine when questions are being asked as well as the tone of the participants throughout the discussion.,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_1K1IOoryvpBwqhc,"The platform uses machine learning and information about collaboration to help give a discussion facilitator insight into the collaboration going on within a group. This can be useful for educational purposes, for example between a teacher and groups of students. ",Disagree,N/A,Disagree,Disagree,Strongly disagree,Disagree,No,Maybe
R_3O7lKBBmrImSEca,You can use the timeline and data collection to track keyword in a discussion. This can be viewed in real time or afterwards,Agree,,Neutral,Neutral,Agree,Neutral,No,Maybe
R_Un02eH9m0TZTBfj,The platform would monitor the groups discussion to determine the tone and key aspects of the discussion. These key aspects would determine the environment and quality of the group collaboration.,Strongly agree,,Agree,Agree,Agree,Agree,No,No
R_1QaxjUrAjDai1Cw,"The purpose of this platform is to help deeper engagement and learning among students when it comes to learning. A feature to do this is tracking discussion data (which includes recording, transcript, and duration) to see how effective discussions were and what could be improved to enhance the next discussion meeting",Neutral,,Agree,Agree,Neutral,Agree,No,Maybe
R_1Cat0Z54BNN5hK1,The platform collects and records data from the collaboration session and uses it to find patterns and create graphs. The recordings are used to make transcripts for use later.,Agree,N/A,Neutral,Agree,Agree,Agree,No,No
R_12ruOKFeeogbiTH,helps students to go back to certain points during the discussion. Provides transcript of what was said. ,Neutral,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_2ayPKNU98iRIeC7,The purpose and functionality of the data capture platform described in the video is to analyze the audio of conversations recorded by different devices.,Neutral,,Neutral,Strongly agree,Agree,Neutral,No,No
R_2TBmknQlgiQXgOH,this device analyzes the discussion of a group of students as it is happening and allows the discussion to be analyzed. it captures the tone and makes note of the topics being discussed and allows easy access to review the discussion,Neutral,,Neutral,Agree,Disagree,Neutral,No,Maybe
R_3HzxEAxwDHkF99h,The device is used to facilitate discussion in a classroom. It can transcript and add data in real time.,Disagree,,Agree,Agree,Neutral,Agree,No,No
R_3PYuS7TBdDocv4u,The data capture platform wants to aid the process of collaborative learning.,Neutral,,Agree,Strongly agree,Agree,Neutral,No,Maybe
R_1LGpV5IzSAyG5F6,It is a tool to help track collaboration for chemistry students. It provides real time collaboration data.,Strongly agree,,Strongly agree,Strongly agree,Agree,Strongly agree,No,No
R_1Ks9htLLxjSHAct,IdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdkIdk,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Maybe
R_25NkosoYhzJYjJB,I think that it used to look in detail into the conversation being help within a team by classifying emotions that may be held in the transcription of the conversation. People's audio can be hooked up to the device in order to capture each person in the conversation to the best ability. ,Agree,,Neutral,Agree,Agree,Neutral,Yes,No
R_39iHAzQWKF53aA9,"Basically you set it up to listen to your conversations and it analyzes them for tone, keywords, and creates a transcript of the conversation. ",Neutral,Feel like the best way for this app to make money would certainly be to sell this data to commercial consumers. It's hard to believe that potential money would be passed up forever. ,Neutral,Strongly agree,Disagree,Agree,No,Maybe
R_D17eW5yZ1uxEMNj,The purpose and functionality of the data capture platform described in the video is to analyze conversations and the direction that they were taken through a audio capturing device. This has the great ability of understanding how conversations are trending but might feel intrusive for learning purposes.,Agree,,Agree,Neutral,Agree,Agree,No,No
R_21zbcJGjxJFFGRf,It helps people analyze a discussion after it takes place. It can tell you about where the speaking came from and what kind of thinking/speaking was taking place.,Strongly agree,I hope this would not be used to penalize students with softer voices; I have a lot of trouble with being talked over. I think the analytical/emotional word analysis is very helpful!,Disagree,Agree,Disagree,Disagree,No,Yes
